"코드","코드명","결산월","회계연도","분기","자산총계(천원)","부채총계(천원)","매출액(천원)...8","매출원가(천원)","판매비와관리비(천원)","당기순이익(천원)","매출액(천원)...12","무위험수익률(%)","시장위험프리미엄(%)","상장상태","코드_join","회계연도_join","ESG등급","부채비율","부채비율_Win","매출액(천원)...21","Size","ROA","Loss_Dummy","is_esg_rated","ATO","ROA_Z","ATO_Z","Female_Ratio","매출액(천원)...30","매출액(천원)"
"A373220","LG에너지솔루션",12,2018,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2018,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2019,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2019,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2020,"결산",19941795000,12376390000,1461068000,1237020000,699254000,-451771000,1461068000,1.34,11.56,"정상","373220",2020,NA,0.62062567587321,0.62062567587321,1461068000,23.7160836175389,-0.022654480201005,1,0,0.0732666241930578,0.00373797791917147,-0.00968391284492774,0,1461068000,1461068000
"A373220","LG에너지솔루션",12,2021,"결산",23764137000,15021764000,17851906000,13953123000,3130313000,929868000,17851906000,2.01,12.55,"정상","373220",2021,NA,0.632119062434289,0.632119062434289,17851906000,23.8914434324881,0.0391290455866333,0,0,0.751212046959669,0.00422746302055292,-0.00447404705212817,0,17851906000,17851906000
"A373220","LG에너지솔루션",12,2022,"결산",38299445000,17705683000,25598609000,21308077000,3076813000,779826000,25598609000,3.75,10.03,"정상","373220",2022,NA,0.462296072436559,0.462296072436559,25598609000,24.3687012421925,0.0203612872196973,0,0,0.668380677579009,0.0040787739001146,-0.00511058843645669,0,25598609000,25598609000
"A373220","LG에너지솔루션",12,2023,"결산",45437144000,21063635000,33745470000,28802437000,3456673000,1637985000,33745470000,3.16,11.44,"정상","373220",2023,NA,0.463577442279383,0.463577442279383,33745470000,24.5395957572934,0.0360494708910402,0,0,0.74268466345508,0.00420306483490606,-0.00453957817326376,0,33745470000,33745470000
"A373220","LG에너지솔루션",12,2024,"결산",60306791000,29340248000,25619585000,22213605000,4310613000,338602000,25619585000,2.76,14.01,"정상","373220",2024,"A",0.486516485349055,0.486516485349055,25619585000,24.8227105545871,0.00561465789151341,0,1,0.424820896207195,0.00396194250760794,-0.00698229334198209,1,25619585000,25619585000
"A207940","삼성바이오로직스",12,2010,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,4.08,11.93,"정상","207940",2010,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A207940","삼성바이오로직스",12,2011,"결산",184347767,42341620,153248051,0,12278892,-7922261,153248051,3.46,11.33,"정상","207940",2011,NA,0.229683389655596,0.229683389655596,153248051,19.0323345751667,-0.0429745427835858,1,0,0.831298656305395,0.00357699053998726,-0.00385859856250065,0,153248051,153248051
"A207940","삼성바이오로직스",12,2012,"결산",570278585,113896302,153248051,0,83437488,-74388201,153248051,2.97,10.4,"정상","207940",2012,NA,0.199720461184773,0.199720461184773,153248051,20.1616355467632,-0.130441862901094,1,0,0.268724891712355,0.00288402345030639,-0.00818185780086084,0,153248051,153248051
